RestaurantID,RestaurantName,CountryCode,City,Longitude,Latitude,AverageCostfortwo,Currency,HasTablebooking,HasOnlinedelivery,Isdeliveringnow,Switchtoordermenu,Pricerange,Aggregaterating,Ratingcolor,Ratingtext,Votes,French,Japanese,Seafood,Chinese,Asian,European,Filipino,American,Korean,Cafe,Italian,FastFood,Bakery,Brazilian,Pizza,Arabian,BarFood,Mexican,International,Peruvian,Desserts,Juices,Beverages,Lebanese,Burger,Steak,Indian,Sushi,BBQ,GourmetFastFood,CoffeeandTea,Southern,Breakfast,Sandwich,German,Vietnamese,Thai,ModernAustralian,LatinAmerican,Mediterranean,Tea,Greek,Spanish,Hawaiian,Irish,NewAmerican,Caribbean,Cajun,PubFood,Tapas,Singaporean,Western,FingerFood,British,Cuban,Australian,Turkish,Pakistani,Continental,Goan,SouthIndian,African,NorthIndian,Rajasthani,Mughlai,IceCream,StreetFood,Mithai,Maharashtrian,ModernIndian,Biryani,Parsi,RawMeats,Kashmiri,SouthAmerican,Persian,Bengali,HealthyFood,Portuguese,Burmese,Awadhi,Tibetan,DrinksOnly,Lucknowi,Gujarati,NorthEastern,Oriya,Hyderabadi,Bihari,Afghani,Kerala,Tex-Mex,Andhra,Malwani,Malaysian,Assamese,MiddleEastern,Nepalese,Naga,Salad,CharcoalGrill,Peranakan,Sunda,Indonesian,AsianFusion,Taiwanese,Kiwi,Contemporary,Scottish,Ramen,Argentine,Grill,SriLankan,Kebab,Patisserie,WorldCuisine,TurkishPizza,RestaurantCafe,Mineira,Southwestern,Diner,Canadian,Vegetarian,Fusion,Deli,Chettinad,Belgian,Iranian,Mangalorean,FishandChips,DimSum,Curry,SouthAfrican,Izgara,B_rek,Teriyaki,SoulFood,Cantonese,Moroccan,Armenian,Durban,D_ner,Bubble Tea,Malay
6317637,Le Petit Souffle,162,Makati City,121.027535,14.565443,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6304287,Izakaya Kikufuji,162,Makati City,121.014101,14.553708,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.056831,14.581404,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6318506,Ooma,162,Mandaluyong City,121.056475,14.585318,1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6314302,Sambo Kojin,162,Mandaluyong City,121.057508,14.58445,1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18189371,Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300781,Buffet 101,162,Pasay City,120.9796667,14.53133333,2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6301290,Vikings,162,Pasay City,120.9793333,14.54,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98009,14.55299,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6314987,Locavore,162,Pasig City,121.056532,14.572041,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
